Team,syracuse,north-carolina-asheville,kansas-state,southern-mississippi,vanderbilt,harvard,wisconsin,montana,cincinnati,texas,florida-state,st-bonaventure,gonzaga,west-virginia,ohio-state,loyola-md,north-carolina,vermont,creighton,alabama,temple,south-florida,michigan,ohio,san-diego-state,north-carolina-state,georgetown,belmont,saint-marys-ca,purdue,kansas,detroit-mercy,kentucky,western-kentucky,iowa-state,connecticut,wichita-state,virginia-commonwealth,indiana,new-mexico-state,nevada-las-vegas,colorado,baylor,south-dakota-state,notre-dame,xavier,duke,lehigh,michigan-state,long-island-university,memphis,saint-louis,new-mexico,long-beach-state,louisville,davidson,murray-state,colorado-state,marquette,brigham-young,florida,virginia,missouri,norfolk-state
2 Pt Field Goal Percent,0.6165413533834591,0.8120300751879705,0.3458646616541354,0.02255639097744364,0.5639097744360905,0.6616541353383463,0.21052631578947395,0.4962406015037596,0.20300751879699275,0.3383458646616541,0.5037593984962409,0.5037593984962409,0.6090225563909778,0.4661654135338347,0.6917293233082711,0.15789473684210545,0.4511278195488723,0.368421052631579,0.827067669172933,0.5714285714285717,0.4887218045112784,0.39849624060150385,0.7593984962406021,0.3233082706766917,0.4962406015037596,0.4285714285714287,0.6090225563909778,0.8571428571428578,0.9022556390977451,0.3082706766917293,0.6616541353383463,0.5263157894736844,0.6766917293233087,0.0,0.4962406015037596,0.4812030075187972,0.7443609022556397,0.17293233082706788,0.5864661654135341,0.6466165413533839,0.5864661654135341,0.38345864661654144,0.5187969924812033,0.5714285714285717,0.42105263157894746,0.3759398496240602,0.5488721804511281,0.4511278195488723,0.6390977443609026,0.6315789473684215,0.7669172932330832,0.4812030075187972,0.5488721804511281,0.6390977443609026,0.26315789473684204,0.5939849624060154,0.5263157894736844,0.4812030075187972,0.473684210526316,0.654135338345865,0.6992481203007523,0.5563909774436093,1.0,0.4812030075187972
3 Pt Field Goal Percent,0.42253521126760557,0.4647887323943662,0.3239436619718312,0.48591549295774644,0.6971830985915495,0.4788732394366197,0.5563380281690141,0.5845070422535212,0.36619718309859184,0.27464788732394385,0.4577464788732394,0.3943661971830985,0.6338028169014086,0.0633802816901409,0.31690140845070447,0.3521126760563383,0.31690140845070447,0.3591549295774651,0.9507042253521126,0.0,0.7605633802816903,0.19014084507042267,0.4295774647887323,0.38732394366197176,0.36619718309859184,0.4647887323943662,0.40845070422535207,0.6267605633802817,0.38732394366197176,0.619718309859155,0.3943661971830985,0.0633802816901409,0.6267605633802817,0.11971830985915502,0.591549295774648,0.30281690140845097,0.5774647887323944,0.31690140845070447,1.0,0.2676056338028171,0.5281690140845071,0.4154929577464788,0.6619718309859156,0.711267605633803,0.30281690140845097,0.43661971830985913,0.5774647887323944,0.4295774647887323,0.5,0.5774647887323944,0.5140845070422535,0.49295774647887325,0.6267605633802817,0.48591549295774644,0.20422535211267623,0.330985915492958,0.7535211267605636,0.7816901408450706,0.3380281690140848,0.38028169014084534,0.6408450704225354,0.2887323943661974,0.7676056338028171,0.1619718309859156
Total Field Goal Percent,0.6636363636363638,0.7999999999999998,0.409090909090909,0.19090909090909058,0.6090909090909092,0.6545454545454547,0.2818181818181816,0.6181818181818183,0.2454545454545452,0.3636363636363635,0.5636363636363637,0.5636363636363637,0.7181818181818179,0.3999999999999999,0.7454545454545451,0.2818181818181816,0.590909090909091,0.4454545454545454,1.0,0.5272727272727273,0.6818181818181815,0.3909090909090908,0.5545454545454546,0.3090909090909089,0.5363636363636364,0.5818181818181819,0.6454545454545456,0.7909090909090907,0.7181818181818179,0.4181818181818181,0.7090909090909088,0.5090909090909091,0.8545454545454544,0.0,0.5,0.5272727272727273,0.7999999999999998,0.1454545454545451,0.8909090909090908,0.727272727272727,0.5727272727272728,0.4727272727272727,0.6636363636363638,0.672727272727273,0.3636363636363635,0.5363636363636364,0.5636363636363637,0.4545454545454545,0.7545454545454543,0.727272727272727,0.8818181818181817,0.5,0.6181818181818183,0.672727272727273,0.2545454545454543,0.4727272727272727,0.672727272727273,0.6999999999999997,0.5272727272727273,0.6454545454545456,0.6272727272727274,0.5727272727272728,1.0,0.4181818181818181
Offensive Rebounds Percent,0.6130952380952381,0.36904761904761907,0.6488095238095238,0.6488095238095238,0.35714285714285715,0.026785714285714284,0.2857142857142857,0.09523809523809523,0.7023809523809523,0.5952380952380952,0.4494047619047619,0.3392857142857143,0.31547619047619047,0.7142857142857143,0.6309523809523809,0.5238095238095238,1.0,0.44047619047619047,0.22916666666666666,0.29464285714285715,0.23809523809523808,0.3601190476190476,0.1130952380952381,0.5892857142857143,0.31845238095238093,0.6071428571428571,0.3392857142857143,0.43452380952380953,0.36904761904761907,0.4107142857142857,0.5833333333333334,0.5357142857142857,0.6964285714285714,0.5833333333333334,0.35119047619047616,0.48214285714285715,0.30654761904761907,0.5535714285714286,0.3869047619047619,0.7886904761904762,0.46130952380952384,0.2916666666666667,0.6458333333333334,0.3273809523809524,0.27380952380952384,0.4107142857142857,0.45535714285714285,0.3958333333333333,0.5178571428571429,0.4255952380952381,0.23511904761904762,0.27976190476190477,0.4226190476190476,0.41369047619047616,0.7916666666666666,0.4791666666666667,0.31845238095238093,0.03869047619047619,0.4791666666666667,0.38095238095238093,0.4851190476190476,0.0,0.19642857142857142,0.49404761904761907
Steal Percent,0.8056872037914692,0.5450236966824644,0.15165876777251186,0.17535545023696683,0.21800947867298578,0.07582938388625593,0.061611374407582936,0.2890995260663507,0.6161137440758294,0.2985781990521327,0.4597156398104265,0.08530805687203792,0.26066350710900477,0.1990521327014218,0.5355450236966824,0.41232227488151657,0.4312796208530806,0.25118483412322273,0.004739336492890996,0.33649289099526064,0.2938388625592417,0.15165876777251186,0.0,0.8483412322274881,0.0995260663507109,0.38388625592417064,0.15165876777251186,0.41232227488151657,0.2796208530805687,0.27488151658767773,0.5545023696682464,0.4928909952606635,0.35071090047393366,0.12796208530805686,0.13270142180094788,0.14691943127962084,0.1943127962085308,1.0,0.3080568720379147,0.36018957345971564,0.6208530805687204,0.1990521327014218,0.5592417061611374,0.3222748815165877,0.04265402843601896,0.22748815165876776,0.1990521327014218,0.4786729857819905,0.4597156398104265,0.18009478672985782,0.5213270142180095,0.3222748815165877,0.3412322274881517,0.35071090047393366,0.8767772511848341,0.07582938388625593,0.5118483412322274,0.018957345971563982,0.6445497630331753,0.6066350710900474,0.3080568720379147,0.1848341232227488,0.5545023696682464,0.3412322274881517
Block Percent,0.6866197183098591,0.09859154929577464,0.3380281690140845,0.13380281690140844,0.29577464788732394,0.2711267605633803,0.2323943661971831,0.1936619718309859,0.3873239436619718,0.22887323943661972,0.5387323943661971,0.25704225352112675,0.15845070422535212,0.0880281690140845,0.22887323943661972,0.30633802816901406,0.5598591549295775,0.09154929577464789,0.07746478873239436,0.2711267605633803,0.2605633802816901,0.2711267605633803,0.04225352112676056,0.15140845070422534,0.06690140845070422,0.31690140845070425,0.3380281690140845,0.06338028169014084,0.14788732394366197,0.176056338028169,0.5704225352112676,0.36971830985915494,1.0,0.3028169014084507,0.1267605633802817,0.6091549295774648,0.24647887323943662,0.25,0.1936619718309859,0.33098591549295775,0.38380281690140844,0.2007042253521127,0.4154929577464789,0.017605633802816902,0.19014084507042253,0.2640845070422535,0.2676056338028169,0.1619718309859155,0.3415492957746479,0.18661971830985916,0.4788732394366197,0.13732394366197184,0.2007042253521127,0.11267605633802817,0.46830985915492956,0.19718309859154928,0.27816901408450706,0.0,0.21830985915492956,0.33098591549295775,0.22535211267605634,0.09859154929577464,0.13028169014084506,0.38380281690140844
3 Pt Field Goal Attempts,0.42340425531914894,0.3404255319148936,0.16382978723404254,0.28085106382978725,0.6872340425531915,0.10425531914893617,0.6510638297872341,0.11702127659574468,0.625531914893617,0.28085106382978725,0.3021276595744681,0.07446808510638298,0.20851063829787234,0.2425531914893617,0.2702127659574468,0.031914893617021274,0.23617021276595745,0.19574468085106383,0.4425531914893617,0.002127659574468085,0.22340425531914893,0.13829787234042554,0.6787234042553192,0.723404255319149,0.23191489361702128,0.18723404255319148,0.1425531914893617,0.7404255319148936,0.5191489361702127,0.6042553191489362,0.3702127659574468,0.17872340425531916,0.2680851063829787,0.3595744680851064,0.674468085106383,0.18723404255319148,0.32127659574468087,0.7042553191489361,0.13191489361702127,0.07659574468085106,0.7021276595744681,0.21914893617021278,0.44042553191489364,0.551063829787234,0.41702127659574467,0.06808510638297872,0.574468085106383,0.5468085106382978,0.1829787234042553,0.29148936170212764,0.08936170212765958,0.4127659574468085,0.48936170212765956,0.3170212765957447,0.5617021276595745,0.6191489361702127,0.2872340425531915,0.00851063829787234,0.2702127659574468,0.44680851063829785,1.0,0.0,0.5702127659574469,0.35319148936170214
2 Pt Field Goal Attempts,0.5602605863192183,0.3322475570032573,0.35939196525515743,0.4364820846905538,0.17046688382193267,0.0,0.13897937024972856,0.20955483170466885,0.498371335504886,0.38436482084690554,0.3691639522258415,0.2290988056460369,0.2182410423452769,0.38979370249728557,0.7068403908794788,0.3463626492942454,1.0,0.41368078175895767,0.31053203040173727,0.30401737242128124,0.31487513572204123,0.28121606948968514,0.018458197611292075,0.3539630836047774,0.38327904451682954,0.6568946796959826,0.255157437567861,0.25732899022801303,0.13680781758957655,0.31921824104234525,0.6015200868621065,0.5244299674267101,0.739413680781759,0.3713355048859935,0.14115092290988057,0.4028230184581976,0.3257328990228013,0.2909880564603692,0.46145494028230183,0.6167209554831705,0.31596091205211724,0.3583061889250814,0.5428881650380022,0.28555917480998916,0.1769815418023887,0.5570032573289903,0.22149837133550487,0.36047774158523344,0.5266015200868621,0.3930510314875136,0.4516829533116178,0.19326818675352878,0.24647122692725298,0.31487513572204123,0.6254071661237784,0.25732899022801303,0.16938110749185667,0.19109663409337677,0.504885993485342,0.48642779587404994,0.21172638436482086,0.1465798045602606,0.256243213897937,0.4017372421281216
Total Field Goal Attempts,0.6775178026449644,0.4242115971515768,0.3652085452695829,0.4933875890132248,0.43845371312309256,0.0,0.3916581892166836,0.20244150559511698,0.71617497456765,0.44455747711088506,0.4404883011190234,0.20040691759918616,0.254323499491353,0.4313326551373347,0.7416073245167853,0.28992878942014244,1.0,0.4313326551373347,0.4526958290946083,0.23601220752797558,0.35198372329603256,0.2797558494404883,0.29196337741607326,0.6276703967446592,0.4201424211597152,0.6551373346897253,0.25737538148524924,0.5452695829094608,0.32655137334689727,0.5381485249237029,0.6907426246185148,0.5269582909460834,0.7711088504577823,0.46998982706002035,0.40488301119023395,0.4170905391658189,0.40895218718209564,0.5595116988809766,0.44557477110885046,0.5645981688708036,0.5818921668362157,0.3906408952187182,0.669379450661241,0.4811800610376399,0.31536113936927773,0.5045778229908443,0.4323499491353001,0.5493387589013224,0.5310274669379451,0.4577822990844354,0.4160732451678535,0.3285859613428281,0.4150559511698881,0.3967446592065107,0.8046795523906409,0.4872838250254323,0.2461851475076297,0.13326551373346898,0.5523906408952187,0.6195320447609359,0.6266531027466938,0.08748728382502544,0.46286876907426244,0.49542217700915564
Opponent Points Per Game,0.3183673469387754,0.742857142857143,0.44489795918367314,0.4857142857142854,0.4816326530612244,0.09795918367346933,0.0,0.3591836734693876,0.33877551020408153,0.5551020408163263,0.3959183673469386,0.4816326530612244,0.40816326530612246,0.5428571428571427,0.2693877551020406,0.4489795918367347,0.5673469387755099,0.3142857142857141,0.673469387755102,0.19999999999999996,0.6653061224489795,0.13877551020408158,0.33877551020408153,0.37959183673469377,0.42857142857142855,0.5877551020408159,0.25306122448979573,0.583673469387755,0.3877551020408163,0.5224489795918367,0.3469387755102041,0.5877551020408159,0.30204081632653057,0.6081632653061221,0.5714285714285714,0.46122448979591824,0.3755102040816325,0.2693877551020406,0.5387755102040818,0.6163265306122446,0.5183673469387756,0.3999999999999999,0.4938775510204079,0.5428571428571427,0.3469387755102041,0.5755102040816324,0.6285714285714282,0.49795918367346953,0.24897959183673446,1.0,0.4040816326530612,0.1795918367346938,0.24897959183673446,0.44081632653061215,0.3183673469387754,0.5959183673469386,0.30204081632653057,0.6040816326530611,0.5183673469387756,0.5795918367346939,0.4816326530612244,0.04081632653061224,0.5346938775510202,0.5673469387755099
