Team,villanova,lafayette,north-carolina-state,louisiana-state,northern-iowa,wyoming,louisville,california-irvine,providence,dayton,oklahoma,albany-ny,michigan-state,georgia,virginia,belmont,kentucky,hampton,cincinnati,purdue,west-virginia,buffalo,maryland,valparaiso,butler,texas,notre-dame,northeastern,wichita-state,indiana,kansas,new-mexico-state,duke,robert-morris,san-diego-state,st-johns-ny,utah,stephen-f-austin,georgetown,eastern-washington,southern-methodist,ucla,iowa-state,alabama-birmingham,iowa,davidson,gonzaga,north-dakota-state,wisconsin,coastal-carolina,oregon,oklahoma-state,arkansas,wofford,north-carolina,harvard,xavier,mississippi,baylor,georgia-state,virginia-commonwealth,ohio-state,arizona,texas-southern
2 Pt Field Goal Percent,0.5905511811023625,0.566929133858268,0.14173228346456668,0.36220472440944884,0.614173228346457,0.7559055118110242,0.22834645669291326,0.2992125984251968,0.2677165354330708,0.5590551181102366,0.21259842519685024,0.1889763779527557,0.4173228346456694,0.13385826771653517,0.33070866141732286,0.8661417322834644,0.4488188976377954,0.007874015748031506,0.3228346456692913,0.4173228346456694,0.0,0.1653543307086612,0.19685039370078722,0.3070866141732283,0.06299212598425205,0.21259842519685024,1.0,0.5905511811023625,0.2913385826771653,0.3700787401574804,0.07086614173228356,0.31496062992125984,0.8188976377952762,0.1496062992125982,0.04724409448818904,0.21259842519685024,0.582677165354331,0.7559055118110242,0.3937007874015749,0.6220472440944885,0.4251968503937009,0.1496062992125982,0.6929133858267721,0.10236220472440959,0.14173228346456668,0.5905511811023625,0.952755905511811,0.04724409448818904,0.7322834645669296,0.19685039370078722,0.46456692913385844,0.33070866141732286,0.2598425196850393,0.3070866141732283,0.4330708661417324,0.05511811023622055,0.6456692913385831,0.10236220472440959,0.05511811023622055,0.6456692913385831,0.11023622047244065,0.6377952755905516,0.614173228346457,0.35433070866141736
3 Pt Field Goal Percent,0.8173076923076926,1.0,0.5096153846153846,0.3365384615384619,0.9038461538461543,0.21153846153846176,0.028846153846153876,0.8173076923076926,0.08653846153846163,0.5096153846153846,0.3750000000000004,0.5192307692307693,0.7788461538461542,0.36538461538461575,0.4615384615384615,0.7307692307692311,0.4326923076923076,0.0,0.24038461538461564,0.2211538461538464,0.1153846153846155,0.35576923076923117,0.6923076923076925,0.7403846153846156,0.5,0.3365384615384619,0.8269230769230773,0.7884615384615388,0.5096153846153846,0.9807692307692313,0.7211538461538464,0.6057692307692308,0.7980769230769234,0.6826923076923079,0.15384615384615402,0.423076923076923,0.961538461538462,0.7211538461538464,0.47115384615384615,0.9230769230769236,0.5673076923076924,0.6153846153846155,0.5576923076923077,0.27884615384615413,0.27884615384615413,0.8365384615384619,0.9230769230769236,0.7596153846153849,0.5865384615384617,0.5384615384615385,0.5576923076923077,0.4326923076923076,0.4326923076923076,0.653846153846154,0.5192307692307693,0.4807692307692307,0.45192307692307687,0.2692307692307695,0.7019230769230771,0.27884615384615413,0.3750000000000004,0.6346153846153848,0.5384615384615385,0.17307692307692327
Total Field Goal Percent,0.5614035087719293,0.6929824561403506,0.26315789473684187,0.4298245614035087,0.6491228070175435,0.4824561403508772,0.201754385964912,0.4824561403508772,0.2807017543859647,0.49122807017543857,0.25438596491228044,0.2807017543859647,0.5175438596491229,0.22807017543859623,0.4473684210526315,0.6140350877192978,0.543859649122807,0.0,0.350877192982456,0.37719298245614025,0.017543859649122338,0.25438596491228044,0.29824561403508754,0.4385964912280701,0.23684210526315763,0.23684210526315763,0.9035087719298245,0.701754385964912,0.3421052631578946,0.5087719298245614,0.29824561403508754,0.49122807017543857,0.8421052631578946,0.3245614035087718,0.10526315789473646,0.31578947368421034,0.6666666666666663,0.7105263157894735,0.4385964912280701,0.6315789473684207,0.6052631578947365,0.3245614035087718,0.6140350877192978,0.1929824561403506,0.21929824561403483,0.5350877192982456,1.0,0.24561403508771906,0.6403508771929821,0.29824561403508754,0.5,0.29824561403508754,0.3421052631578946,0.4210526315789473,0.6140350877192978,0.23684210526315763,0.6052631578947365,0.14912280701754352,0.24561403508771906,0.6491228070175435,0.11403508771929786,0.6754385964912277,0.7192982456140348,0.3421052631578946
Offensive Rebounds Percent,0.43175487465181056,0.18384401114206128,0.6100278551532033,0.5153203342618384,0.10584958217270195,0.0,0.6629526462395543,0.3147632311977716,0.5431754874651811,0.10863509749303621,0.4818941504178273,0.3286908077994429,0.6128133704735376,0.4011142061281337,0.3955431754874652,0.25348189415041783,0.766016713091922,0.5571030640668524,0.46518105849582175,0.5376044568245125,1.0,0.5682451253481894,0.27298050139275765,0.5041782729805014,0.5348189415041783,0.5738161559888579,0.27019498607242337,0.22562674094707522,0.5543175487465181,0.532033426183844,0.584958217270195,0.5905292479108635,0.637883008356546,0.4206128133704735,0.6211699164345403,0.3342618384401114,0.29526462395543174,0.5487465181058496,0.4206128133704735,0.37604456824512533,0.479108635097493,0.6239554317548747,0.298050139275766,0.6072423398328691,0.5738161559888579,0.33147632311977715,0.48746518105849584,0.1615598885793872,0.46518105849582175,0.6434540389972145,0.43454038997214484,0.1977715877437326,0.7075208913649025,0.3008356545961003,0.8635097493036211,0.2785515320334262,0.41225626740947074,0.596100278551532,0.7827298050139275,0.29526462395543174,0.6350974930362117,0.4763231197771588,0.5431754874651811,0.4958217270194986
Steal Percent,0.6048387096774194,0.21370967741935484,0.04032258064516129,0.45161290322580644,0.3185483870967742,0.2540322580645161,0.625,0.2661290322580645,0.4596774193548387,0.49193548387096775,0.43951612903225806,0.23790322580645162,0.3024193548387097,0.2217741935483871,0.23387096774193547,0.32661290322580644,0.5040322580645161,0.4314516129032258,0.3790322580645161,0.22983870967741934,1.0,0.4838709677419355,0.16532258064516128,0.3024193548387097,0.3588709677419355,0.0,0.5161290322580645,0.2217741935483871,0.49193548387096775,0.1693548387096774,0.43951612903225806,0.36693548387096775,0.6048387096774194,0.6935483870967742,0.4798387096774194,0.47580645161290325,0.3225806451612903,0.5282258064516129,0.4959677419354839,0.36693548387096775,0.43951612903225806,0.4435483870967742,0.3629032258064516,0.43951612903225806,0.3629032258064516,0.17338709677419356,0.3951612903225806,0.11290322580645161,0.18548387096774194,0.45161290322580644,0.3185483870967742,0.5040322580645161,0.6008064516129032,0.4032258064516129,0.4959677419354839,0.34274193548387094,0.38306451612903225,0.3911290322580645,0.5443548387096774,0.7782258064516129,0.8629032258064516,0.5564516129032258,0.592741935483871,0.3467741935483871
Block Percent,0.4325581395348837,0.13953488372093023,0.6093023255813953,0.7023255813953488,0.14418604651162792,0.22790697674418606,0.6465116279069767,0.5348837209302325,0.4744186046511628,0.17674418604651163,0.5627906976744186,0.0,0.5720930232558139,0.4558139534883721,0.4186046511627907,0.06046511627906977,1.0,0.40930232558139534,0.6139534883720931,0.5767441860465117,0.2,0.3674418604651163,0.4558139534883721,0.48372093023255813,0.23255813953488372,0.986046511627907,0.3953488372093023,0.35348837209302325,0.3767441860465116,0.2558139534883721,0.5674418604651162,0.3302325581395349,0.44651162790697674,0.2186046511627907,0.586046511627907,0.7302325581395349,0.5674418604651162,0.3116279069767442,0.4790697674418605,0.5302325581395348,0.4325581395348837,0.4,0.37209302325581395,0.6093023255813953,0.4883720930232558,0.18604651162790697,0.3395348837209302,0.32558139534883723,0.34418604651162793,0.26976744186046514,0.48372093023255813,0.4790697674418605,0.5348837209302325,0.15813953488372093,0.49767441860465117,0.3813953488372093,0.24651162790697675,0.3488372093023256,0.3674418604651163,0.4186046511627907,0.46511627906976744,0.5813953488372093,0.3627906976744186,0.26046511627906976
3 Pt Field Goal Attempts,0.9161425576519916,0.5031446540880503,0.5471698113207547,0.3312368972746331,0.5136268343815513,0.5073375262054507,0.5115303983228512,0.3312368972746331,0.3060796645702306,0.5660377358490566,0.6037735849056604,0.36058700209643607,0.7610062893081762,0.2893081761006289,0.1740041928721174,0.9769392033542977,0.38155136268343814,0.4989517819706499,0.22431865828092243,0.4129979035639413,0.6687631027253669,0.3836477987421384,0.6016771488469602,0.4612159329140461,0.29350104821802936,0.47379454926624737,0.7861635220125787,0.2641509433962264,0.5660377358490566,0.8092243186582809,0.33962264150943394,0.10482180293501048,0.6960167714884696,0.39832285115303984,0.40041928721174,0.35429769392033544,0.5324947589098532,0.6121593291404612,0.35429769392033544,0.9643605870020965,0.0,0.43186582809224316,0.6834381551362684,0.4339622641509434,0.3689727463312369,1.0,0.5450733752620545,0.4192872117400419,0.8176100628930818,0.48846960167714887,0.6834381551362684,0.5178197064989518,0.589098532494759,0.4109014675052411,0.2389937106918239,0.025157232704402517,0.5576519916142557,0.549266247379455,0.47379454926624737,0.2557651991614256,0.9517819706498952,0.4968553459119497,0.2851153039832285,0.36477987421383645
2 Pt Field Goal Attempts,0.2062937062937063,0.25874125874125875,0.5314685314685315,0.5442890442890443,0.04195804195804196,0.046620046620046623,0.5442890442890443,0.4149184149184149,0.4731934731934732,0.17249417249417248,0.47785547785547783,0.18298368298368298,0.5606060606060606,0.2972027972027972,0.3939393939393939,0.0,0.7354312354312355,0.44755244755244755,0.3041958041958042,0.35664335664335667,0.5617715617715617,0.46853146853146854,0.17832167832167833,0.32517482517482516,0.47202797202797203,0.31934731934731936,0.40675990675990675,0.30536130536130535,0.37995337995337997,0.31002331002331,0.5559440559440559,0.42074592074592077,0.6083916083916084,0.46503496503496505,0.4522144522144522,0.44755244755244755,0.19696969696969696,0.28088578088578087,0.2878787878787879,0.289044289044289,0.4813519813519814,0.6480186480186481,0.3613053613053613,0.5804195804195804,0.4568764568764569,0.1282051282051282,0.5664335664335665,0.20512820512820512,0.4522144522144522,0.38344988344988346,0.5594405594405595,0.09673659673659674,0.6736596736596736,0.3135198135198135,1.0,0.23193473193473194,0.4755244755244755,0.47086247086247085,0.36247086247086246,0.48834498834498835,0.40559440559440557,0.49067599067599066,0.6934731934731935,0.38344988344988346
Total Field Goal Attempts,0.5295663600525624,0.32982917214191854,0.6649145860709592,0.5440210249671484,0.09198423127463863,0.09329829172141918,0.657030223390276,0.39816031537450725,0.4480946123521682,0.2720105124835742,0.6399474375821288,0.15505913272010513,0.8318002628120894,0.23915900131406045,0.2759526938239159,0.33508541392904073,0.7910643889618922,0.5400788436268068,0.20630749014454666,0.38370565045992117,0.7752956636005256,0.4914586070959264,0.3009198423127464,0.37844940867279897,0.43889618922470436,0.3797634691195795,0.6741130091984231,0.2325886990801577,0.5059132720105125,0.5795006570302234,0.5624178712220762,0.2628120893561104,0.8449408672798949,0.4967148488830486,0.4835742444152431,0.44940867279894875,0.278580814717477,0.4231274638633377,0.26938239159001315,0.6530880420499343,0.26544021024967146,0.7240473061760841,0.5584756898817346,0.6491458607095927,0.469119579500657,0.4940867279894875,0.7030223390275953,0.21681997371879105,0.7450722733245729,0.4612352168199737,0.7818659658344284,0.15637319316688567,0.8515111695137977,0.33377135348226017,1.0,0.0,0.6084099868593955,0.5978975032851511,0.4283837056504599,0.4336399474375821,0.7766097240473062,0.5873850197109067,0.683311432325887,0.38370565045992117
Opponent Points Per Game,0.419642857142857,0.9598214285714284,0.6383928571428569,0.7232142857142857,0.13839285714285718,0.2187499999999999,0.3705357142857141,0.47321428571428564,0.6249999999999999,0.4151785714285712,0.5,0.4017857142857142,0.5401785714285714,0.5758928571428572,0.0,0.852678571428571,0.12499999999999985,0.7455357142857142,0.19196428571428553,0.5848214285714282,0.683035714285714,0.7499999999999997,0.5312499999999998,0.3526785714285713,0.42410714285714274,0.3928571428571426,0.6383928571428569,0.6071428571428568,0.26339285714285704,0.9017857142857142,0.5937499999999998,0.3705357142857141,0.5669642857142857,0.7589285714285713,0.10714285714285705,0.7321428571428572,0.25,0.5758928571428572,0.6116071428571428,1.0,0.3705357142857141,0.7410714285714282,0.7812499999999998,0.7410714285714282,0.4821428571428569,0.7991071428571429,0.45535714285714285,0.4821428571428569,0.2991071428571429,0.4866071428571427,0.8616071428571425,0.5044642857142855,0.8303571428571423,0.3660714285714286,0.7723214285714283,0.27232142857142855,0.7098214285714286,0.7544642857142858,0.38839285714285715,0.4866071428571427,0.6383928571428569,0.513392857142857,0.3660714285714286,0.7455357142857142
